Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CMA
24/01/1900,65.05,65.05,65.05,65.05,
25/01/1900,64.23,64.23,64.23,64.23,
28/01/1900,64.45,64.45,64.45,64.45,
29/01/1900,66.06,66.06,66.06,66.06,66.4575
30/01/1900,66.13,66.13,66.13,66.13,67.0789285714286
31/01/1900,67.34,67.34,67.34,67.34,67.4996428571429
01/02/1900,67.86,67.86,67.86,67.86,67.7621428571428
04/02/1900,68.36,68.36,68.36,68.36,67.78
05/02/1900,68.03,68.03,68.03,68.03,67.5978571428571
06/02/1900,67.94,67.94,67.94,67.94,67.5221428571429
07/02/1900,67.46,67.46,67.46,67.46,67.3221428571429
08/02/1900,66.86,66.86,66.86,66.86,67.2014285714286
12/02/1900,67.39,67.39,67.39,67.39,66.9564285714286
13/02/1900,66.9,66.9,66.9,66.9,66.7321428571429
14/02/1900,67.08,67.08,67.08,67.08,66.5457142857143
15/02/1900,66.4,66.4,66.4,66.4,66.2632142857143
18/02/1900,66.25,66.25,66.25,66.25,65.7585714285714
19/02/1900,66.16,66.16,66.16,66.16,65.1164285714286
20/02/1900,65.59,65.59,65.59,65.59,64.5410714285714
22/02/1900,64.52,64.52,64.52,64.52,64.2514285714286
25/02/1900,63.56,63.56,63.56,63.56,63.9564285714286
26/02/1900,63.35,63.35,63.35,63.35,63.3464285714286
27/02/1900,63.96,63.96,63.96,63.96,62.9292857142857
01/03/1900,63.59,63.59,63.59,63.59,62.5735714285714
02/03/1900,61.95,61.95,61.95,61.95,62.3025
05/03/1900,62.12,62.12,62.12,62.12,61.9832142857143
06/03/1900,61.87,61.87,61.87,61.87,61.6639285714286
07/03/1900,61.83,61.83,61.83,61.83,61.9964285714286
08/03/1900,61.39,61.39,61.39,61.39,62.2314285714286
09/03/1900,61.11,61.11,61.11,61.11,62.2207142857143
12/03/1900,63.31,63.31,63.31,63.31,62.1582142857143
13/03/1900,62.88,62.88,62.88,62.88,62.1228571428571
14/03/1900,62.03,62.03,62.03,62.03,62.3346428571429
15/03/1900,61.81,61.81,61.81,61.81,62.6271428571429
16/03/1900,61.91,61.91,61.91,61.91,62.9935714285714
19/03/1900,62.91,62.91,62.91,62.91,63.3275
20/03/1900,63.45,63.45,63.45,63.45,63.5217857142857
21/03/1900,64.08,64.08,64.08,64.08,63.755
22/03/1900,64.06,64.06,64.06,64.06,64.0703571428571
23/03/1900,63.67,63.67,63.67,63.67,64.3882142857143
