Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CMA
05/01/1970,2402.85,2402.85,2402.85,2402.85,
06/01/1970,2406.22,2406.22,2406.22,2406.22,
07/01/1970,2394.96,2394.96,2394.96,2394.96,
08/01/1970,2283.68,2283.68,2283.68,2283.68,2334.25571428571
09/01/1970,2359,2359,2359,2359,2318.125
12/01/1970,2324.24,2324.24,2324.24,2324.24,2305.66857142857
13/01/1970,2297.69,2297.69,2297.69,2297.69,2303.22214285714
14/01/1970,2288.14,2288.14,2288.14,2288.14,2303.97214285714
16/01/1970,2286.45,2286.45,2286.45,2286.45,2307.63928571429
19/01/1970,2309.38,2309.38,2309.38,2309.38,2311.81285714286
20/01/1970,2309.94,2309.94,2309.94,2309.94,2313.40071428571
21/01/1970,2325.36,2325.36,2325.36,2325.36,2315.655
22/01/1970,2322.58,2322.58,2322.58,2322.58,2318.16892857143
23/01/1970,2312,2312,2312,2312,2320.15428571429
26/01/1970,2316.71,2316.71,2316.71,2316.71,2322.5475
27/01/1970,2321.83,2321.83,2321.83,2321.83,2316.23178571429
28/01/1970,2324.77,2324.77,2324.77,2324.77,2314.45428571429
29/01/1970,2328.6,2328.6,2328.6,2328.6,2309.6675
30/01/1970,2296.43,2296.43,2296.43,2296.43,2309.58535714286
02/02/1970,2310.45,2310.45,2310.45,2310.45,2307.99214285714
03/02/1970,2296.68,2296.68,2296.68,2296.68,2305.97392857143
04/02/1970,2313.31,2313.31,2313.31,2313.31,2305.60321428571
05/02/1970,2306.78,2306.78,2306.78,2306.78,2305.98785714286
06/02/1970,2302.93,2302.93,2302.93,2302.93,2307.40428571429
09/02/1970,2306.4,2306.4,2306.4,2306.4,2305.49071428571
10/02/1970,2306.25,2306.25,2306.25,2306.25,2302.32678571429
12/02/1970,2311.78,2311.78,2311.78,2311.78,2300.05
13/02/1970,2298.65,2298.65,2298.65,2298.65,2302.83428571429
16/02/1970,2293.93,2293.93,2293.93,2293.93,2308.04321428571
17/02/1970,2294.71,2294.71,2294.71,2294.71,2312.25428571429
18/02/1970,2313.23,2313.23,2313.23,2313.23,2325.49035714286
19/02/1970,2324.4,2324.4,2324.4,2324.4,2340.44928571429
20/02/1970,2322.98,2322.98,2322.98,2322.98,2354.595
23/02/1970,2361.47,2361.47,2361.47,2361.47,2366.02571428571
24/02/1970,2375.46,2375.46,2375.46,2375.46,2373.03428571429
25/02/1970,2383.18,2383.18,2383.18,2383.18,2382.51535714286
26/02/1970,2385.07,2385.07,2385.07,2385.07,2388.525
27/02/1970,2380.29,2380.29,2380.29,2380.29,2398.42642857143
02/03/1970,2399.76,2399.76,2399.76,2399.76,2406.3
03/03/1970,2396.64,2396.64,2396.64,2396.64,2419.685
04/03/1970,2422.73,2422.73,2422.73,2422.73,2431.33035714286
05/03/1970,2423.37,2423.37,2423.37,2423.37,2444.23464285714
06/03/1970,2452.26,2452.26,2452.26,2452.26,2450.90464285714
09/03/1970,2455.17,2455.17,2455.17,2455.17,2449.2375
10/03/1970,2470.22,2470.22,2470.22,2470.22,2449.5775
11/03/1970,2458.13,2458.13,2458.13,2458.13,2452.39107142857
12/03/1970,2433.12,2433.12,2433.12,2433.12,2456.21214285714
13/03/1970,2446.36,2446.36,2446.36,2446.36,2463.38607142857
16/03/1970,2459.63,2459.63,2459.63,2459.63,2470.97071428571
17/03/1970,2468.84,2468.84,2468.84,2468.84,2478.00964285714
18/03/1970,2484.62,2484.62,2484.62,2484.62,2484.86821428571
19/03/1970,2490.47,2490.47,2490.47,2490.47,2486.75285714286
20/03/1970,2491.18,2491.18,2491.18,2491.18,2486.50285714286
23/03/1970,2495.18,2495.18,2495.18,2495.18,2491.44678571429
24/03/1970,2484.15,2484.15,2484.15,2484.15,2490.235
25/03/1970,2481.01,2481.01,2481.01,2481.01,2495.21678571429
26/03/1970,2504.84,2504.84,2504.84,2504.84,2502.87
27/03/1970,2485.36,2485.36,2485.36,2485.36,2508.7775
30/03/1970,2510.24,2510.24,2510.24,2510.24,2514.10285714286
31/03/1970,2523.75,2523.75,2523.75,2523.75,2512.35892857143
01/04/1970,2521.42,2521.42,2521.42,2521.42,2518.52357142857
02/04/1970,2522.84,2522.84,2522.84,2522.84,2521.05071428571
03/04/1970,2500.09,2500.09,2500.09,2500.09,2523.57321428571
06/04/1970,2534.45,2534.45,2534.45,2534.45,2521.7525
07/04/1970,2524.13,2524.13,2524.13,2524.13,2519.9575
08/04/1970,2529.65,2529.65,2529.65,2529.65,2516.99321428571
09/04/1970,2515.05,2515.05,2515.05,2515.05,2513.02071428571
10/04/1970,2513.91,2513.91,2513.91,2513.91,2507.90892857143
13/04/1970,2508.16,2508.16,2508.16,2508.16,2505.33285714286
14/04/1970,2502.03,2502.03,2502.03,2502.03,2495.66392857143
15/04/1970,2497.75,2497.75,2497.75,2497.75,2487.94714285714
16/04/1970,2502.65,2502.65,2502.65,2502.65,2481.55785714286
17/04/1970,2471.21,2471.21,2471.21,2471.21,2468.43964285714
20/04/1970,2470.67,2470.67,2470.67,2470.67,2452.95178571429
21/04/1970,2469.64,2469.64,2469.64,2469.64,2442.06
22/04/1970,2436.4,2436.4,2436.4,2436.4,2424.64285714286
23/04/1970,2416.67,2416.67,2416.67,2416.67,2393.73214285714
24/04/1970,2422.86,2422.86,2422.86,2422.86,2318.1075
27/04/1970,2386.06,2386.06,2386.06,2386.06,2258.03214285714
28/04/1970,2315.43,2315.43,2315.43,2315.43,2229.02607142857
30/04/1970,2114.32,2114.32,2114.32,2114.32,2206.09892857143
01/05/1970,2125.61,2125.61,2125.61,2125.61,2195.7725
04/05/1970,2200.74,2200.74,2200.74,2200.74,2188.29464285714
06/05/1970,2191.39,2191.39,2191.39,2191.39,2174.93214285714
07/05/1970,2209.61,2209.61,2209.61,2209.61,2170.45821428571
08/05/1970,2190.54,2190.54,2190.54,2190.54,2151.56035714286
11/05/1970,2139.07,2139.07,2139.07,2139.07,2121.68571428571
12/05/1970,2149.43,2149.43,2149.43,2149.43,2089.73785714286
13/05/1970,2096.75,2096.75,2096.75,2096.75,2071.25464285714
14/05/1970,2048.72,2048.72,2048.72,2048.72,2037.34678571429
15/05/1970,2018.71,2018.71,2018.71,2018.71,2016.73178571429
18/05/1970,2047.9,2047.9,2047.9,2047.9,2001.30035714286
19/05/1970,1963.1,1963.1,1963.1,1963.1,1993.58928571429
20/05/1970,1983.78,1983.78,1983.78,1983.78,1975.71178571429
21/05/1970,1982.33,1982.33,1982.33,1982.33,1965.24285714286
22/05/1970,1989.34,1989.34,1989.34,1989.34,1953.14357142857
25/05/1970,1933.33,1933.33,1933.33,1933.33,1965.13285714286
26/05/1970,1946.48,1946.48,1946.48,1946.48,1979.73928571429
27/05/1970,1929.64,1929.64,1929.64,1929.64,2006.89035714286
28/05/1970,2009.1,2009.1,2009.1,2009.1,2031.74357142857
29/05/1970,2026.14,2026.14,2026.14,2026.14,2058.53214285714
01/06/1970,2082.37,2082.37,2082.37,2082.37,2085.19357142857
02/06/1970,2087.47,2087.47,2087.47,2087.47,2102.65571428571
03/06/1970,2109.23,2109.23,2109.23,2109.23,2109.62285714286
04/06/1970,2133.85,2133.85,2133.85,2133.85,2108.56392857143
05/06/1970,2123.82,2123.82,2123.82,2123.82,2109.56892857143
08/06/1970,2109.58,2109.58,2109.58,2109.58,2089.59107142857
09/06/1970,2091.83,2091.83,2091.83,2091.83,2076.56928571429
10/06/1970,2109.47,2109.47,2109.47,2109.47,2071.66571428571
11/06/1970,2029.41,2029.41,2029.41,2029.41,2064.335
12/06/1970,2048.94,2048.94,2048.94,2048.94,2062.39714285714
15/06/1970,2072.8,2072.8,2072.8,2072.8,2066.015
16/06/1970,2054.37,2054.37,2054.37,2054.37,2077.78321428571
17/06/1970,2066.02,2066.02,2066.02,2066.02,2098.4325
18/06/1970,2082.02,2082.02,2082.02,2082.02,2110.45321428571
19/06/1970,2113.22,2113.22,2113.22,2113.22,2121.65642857143
22/06/1970,2149.28,2149.28,2149.28,2149.28,2131.18785714286
23/06/1970,2131.89,2131.89,2131.89,2131.89,2135.64535714286
24/06/1970,2140.47,2140.47,2140.47,2140.47,2136.57285714286
25/06/1970,2143.45,2143.45,2143.45,2143.45,2137.31714285714
26/06/1970,2135.88,2135.88,2135.88,2135.88,2139.8425
29/06/1970,2131.74,2131.74,2131.74,2131.74,2141.91035714286
30/06/1970,2138.11,2138.11,2138.11,2138.11,2140.5325
01/07/1970,2148.79,2148.79,2148.79,2148.79,2134.94107142857
02/07/1970,2146.89,2146.89,2146.89,2146.89,2130.07357142857
03/07/1970,2135.25,2135.25,2135.25,2135.25,2127.04785714286
06/07/1970,2117.65,2117.65,2117.65,2117.65,2121.785
