Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CMA
30/12/1927,17.66,17.66,17.66,17.66,
03/01/1928,17.76,17.76,17.76,17.76,
04/01/1928,17.72,17.72,17.72,17.72,
05/01/1928,17.55,17.55,17.55,17.55,17.5510714286
06/01/1928,17.66,17.66,17.66,17.66,17.4878571429
09/01/1928,17.5,17.5,17.5,17.5,17.4657142857
10/01/1928,17.37,17.37,17.37,17.37,17.4814285714
11/01/1928,17.35,17.35,17.35,17.35,17.4296428571
12/01/1928,17.47,17.47,17.47,17.47,17.3896428571
13/01/1928,17.58,17.58,17.58,17.58,17.3525
16/01/1928,17.29,17.29,17.29,17.29,17.3539285714
17/01/1928,17.3,17.3,17.3,17.3,17.38
18/01/1928,17.26,17.26,17.26,17.26,17.4414285714
19/01/1928,17.38,17.38,17.38,17.38,17.5142857143
20/01/1928,17.48,17.48,17.48,17.48,17.535
23/01/1928,17.64,17.64,17.64,17.64,17.575
24/01/1928,17.71,17.71,17.71,17.71,17.6182142857
25/01/1928,17.52,17.52,17.52,17.52,17.5960714286
26/01/1928,17.63,17.63,17.63,17.63,17.59
27/01/1928,17.69,17.69,17.69,17.69,17.5707142857
30/01/1928,17.49,17.49,17.49,17.49,17.5803571429
31/01/1928,17.57,17.57,17.57,17.57,17.5353571429
01/02/1928,17.53,17.53,17.53,17.53,17.5071428571
02/02/1928,17.63,17.63,17.63,17.63,17.4828571429
03/02/1928,17.4,17.4,17.4,17.4,17.48
06/02/1928,17.45,17.45,17.45,17.45,17.4921428571
07/02/1928,17.44,17.44,17.44,17.44,17.5025
08/02/1928,17.49,17.49,17.49,17.49,17.4875
09/02/1928,17.55,17.55,17.55,17.55,17.4692857143
10/02/1928,17.54,17.54,17.54,17.54,17.4385714286
14/02/1928,17.44,17.44,17.44,17.44,17.3339285714
15/02/1928,17.4,17.4,17.4,17.4,17.2210714286
16/02/1928,17.35,17.35,17.35,17.35,17.1675
17/02/1928,17.04,17.04,17.04,17.04,17.1346428571
20/02/1928,16.95,16.95,16.95,16.95,17.1289285714
21/02/1928,17.11,17.11,17.11,17.11,17.115
23/02/1928,17.13,17.13,17.13,17.13,17.1239285714
24/02/1928,17.18,17.18,17.18,17.18,17.1646428571
27/02/1928,17.11,17.11,17.11,17.11,17.2075
28/02/1928,17.16,17.16,17.16,17.16,17.2378571429
29/02/1928,17.26,17.26,17.26,17.26,17.3289285714
01/03/1928,17.3,17.3,17.3,17.3,17.4292857143
02/03/1928,17.3,17.3,17.3,17.3,17.4896428571
05/03/1928,17.57,17.57,17.57,17.57,17.5482142857
06/03/1928,17.67,17.67,17.67,17.67,17.6621428571
07/03/1928,17.58,17.58,17.58,17.58,17.7696428571
08/03/1928,17.64,17.64,17.64,17.64,17.8321428571
09/03/1928,17.93,17.93,17.93,17.93,17.875
12/03/1928,18,18,18,18,17.94
13/03/1928,17.92,17.92,17.92,17.92,18.0382142857
14/03/1928,17.93,17.93,17.93,17.93,18.1371428571
15/03/1928,18.07,18.07,18.07,18.07,18.2353571429
16/03/1928,18.26,18.26,18.26,18.26,18.3621428571
19/03/1928,18.36,18.36,18.36,18.36,18.4532142857
20/03/1928,18.46,18.46,18.46,18.46,18.565
21/03/1928,18.65,18.65,18.65,18.65,18.7139285714
22/03/1928,18.6,18.6,18.6,18.6,18.8003571429
23/03/1928,18.78,18.78,18.78,18.78,18.85
26/03/1928,19.05,19.05,19.05,19.05,18.8957142857
27/03/1928,18.94,18.94,18.94,18.94,19.0064285714
28/03/1928,18.89,18.89,18.89,18.89,19.0021428571
29/03/1928,18.95,18.95,18.95,18.95,19.0142857143
30/03/1928,19.28,19.28,19.28,19.28,19.0103571429
02/04/1928,18.91,18.91,18.91,18.91,19.0685714286
03/04/1928,19.02,19.02,19.02,19.02,19.1264285714
04/04/1928,18.99,18.99,18.99,18.99,19.1282142857
05/04/1928,19.23,19.23,19.23,19.23,19.2096428571
09/04/1928,19.27,19.27,19.27,19.27,19.2778571429
10/04/1928,19.1,19.1,19.1,19.1,19.4082142857
11/04/1928,19.44,19.44,19.44,19.44,19.5007142857
12/04/1928,19.41,19.41,19.41,19.41,19.5285714286
13/04/1928,19.73,19.73,19.73,19.73,19.5460714286
16/04/1928,19.68,19.68,19.68,19.68,19.5821428571
17/04/1928,19.52,19.52,19.52,19.52,19.5267857143
18/04/1928,19.52,19.52,19.52,19.52,19.4275
19/04/1928,19.63,19.63,19.63,19.63,19.3625
20/04/1928,19.34,19.34,19.34,19.34,19.3346428571
23/04/1928,19.15,19.15,19.15,19.15,19.3542857143
24/04/1928,19.25,19.25,19.25,19.25,19.4282142857
25/04/1928,19.33,19.33,19.33,19.33,19.5139285714
26/04/1928,19.47,19.47,19.47,19.47,19.6028571429
27/04/1928,19.68,19.68,19.68,19.68,19.6885714286
30/04/1928,19.75,19.75,19.75,19.75,19.775
01/05/1928,19.78,19.78,19.78,19.78,19.9146428571
02/05/1928,19.83,19.83,19.83,19.83,20.0642857143
03/05/1928,19.93,19.93,19.93,19.93,20.1453571429
04/05/1928,20.24,20.24,20.24,20.24,20.1978571429
07/05/1928,20.41,20.41,20.41,20.41,20.2253571429
08/05/1928,20.27,20.27,20.27,20.27,20.275
09/05/1928,20.24,20.24,20.24,20.24,20.3257142857
10/05/1928,20.21,20.21,20.21,20.21,20.3457142857
11/05/1928,20.36,20.36,20.36,20.36,20.2753571429
14/05/1928,20.44,20.44,20.44,20.44,20.2353571429
15/05/1928,20.39,20.39,20.39,20.39,20.1507142857
16/05/1928,20.05,20.05,20.05,20.05,20.005
17/05/1928,20.12,20.12,20.12,20.12,19.8125
18/05/1928,19.92,19.92,19.92,19.92,19.7532142857
21/05/1928,19.63,19.63,19.63,19.63,19.7485714286
22/05/1928,19.36,19.36,19.36,19.36,19.77
23/05/1928,19.75,19.75,19.75,19.75,19.7142857143
24/05/1928,19.87,19.87,19.87,19.87,19.7407142857
25/05/1928,19.9,19.9,19.9,19.9,19.8157142857
28/05/1928,19.57,19.57,19.57,19.57,19.895
29/05/1928,19.82,19.82,19.82,19.82,19.8814285714
31/05/1928,20,20,20,20,19.8785714286
