,,,,,,
,Start Date,1/25/00,,,,
,End Date,,,,,
,,,,,,
,SPX Index,,,,,
,Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,
,12/30/27,17.66,17.66,17.66,17.66,
,1/3/28,17.76,17.76,17.76,17.76,
,1/4/28,17.72,17.72,17.72,17.72,
,1/5/28,17.55,17.55,17.55,17.55,17.5510714285714
,1/6/28,17.66,17.66,17.66,17.66,17.4878571428571
,1/9/28,17.5,17.5,17.5,17.5,17.4657142857143
,1/10/28,17.37,17.37,17.37,17.37,17.4814285714286
,1/11/28,17.35,17.35,17.35,17.35,17.4296428571429
,1/12/28,17.47,17.47,17.47,17.47,17.3896428571429
,1/13/28,17.58,17.58,17.58,17.58,17.3525
,1/16/28,17.29,17.29,17.29,17.29,17.3539285714286
,1/17/28,17.3,17.3,17.3,17.3,17.38
,1/18/28,17.26,17.26,17.26,17.26,17.4414285714286
,1/19/28,17.38,17.38,17.38,17.38,17.5142857142857
,1/20/28,17.48,17.48,17.48,17.48,17.535
,1/23/28,17.64,17.64,17.64,17.64,17.575
,1/24/28,17.71,17.71,17.71,17.71,17.6182142857143
,1/25/28,17.52,17.52,17.52,17.52,17.5960714285714
,1/26/28,17.63,17.63,17.63,17.63,17.59
,1/27/28,17.69,17.69,17.69,17.69,17.5707142857143
,1/30/28,17.49,17.49,17.49,17.49,17.5803571428571
,1/31/28,17.57,17.57,17.57,17.57,17.5353571428571
,2/1/28,17.53,17.53,17.53,17.53,17.5071428571429
,2/2/28,17.63,17.63,17.63,17.63,17.4828571428571
,2/3/28,17.4,17.4,17.4,17.4,17.48
,2/6/28,17.45,17.45,17.45,17.45,17.4921428571429
,2/7/28,17.44,17.44,17.44,17.44,17.5025
,2/8/28,17.49,17.49,17.49,17.49,17.4875
,2/9/28,17.55,17.55,17.55,17.55,17.4692857142857
,2/10/28,17.54,17.54,17.54,17.54,17.4385714285714
,2/14/28,17.44,17.44,17.44,17.44,17.3339285714286
,2/15/28,17.4,17.4,17.4,17.4,17.2210714285714
,2/16/28,17.35,17.35,17.35,17.35,17.1675
,2/17/28,17.04,17.04,17.04,17.04,17.1346428571429
,2/20/28,16.95,16.95,16.95,16.95,17.1289285714286
,2/21/28,17.11,17.11,17.11,17.11,17.115
,2/23/28,17.13,17.13,17.13,17.13,17.1239285714286
,2/24/28,17.18,17.18,17.18,17.18,17.1646428571429
,2/27/28,17.11,17.11,17.11,17.11,17.2075
,2/28/28,17.16,17.16,17.16,17.16,17.2378571428571
,2/29/28,17.26,17.26,17.26,17.26,17.3289285714286
,3/1/28,17.3,17.3,17.3,17.3,17.4292857142857
,3/2/28,17.3,17.3,17.3,17.3,17.4896428571429
,3/5/28,17.57,17.57,17.57,17.57,17.5482142857143
,3/6/28,17.67,17.67,17.67,17.67,17.6621428571429
,3/7/28,17.58,17.58,17.58,17.58,17.7696428571429
,3/8/28,17.64,17.64,17.64,17.64,17.8321428571429
,3/9/28,17.93,17.93,17.93,17.93,17.875
,3/12/28,18,18,18,18,17.94
,3/13/28,17.92,17.92,17.92,17.92,18.0382142857143
,3/14/28,17.93,17.93,17.93,17.93,18.1371428571429
,3/15/28,18.07,18.07,18.07,18.07,18.2353571428571
,3/16/28,18.26,18.26,18.26,18.26,18.3621428571429
,3/19/28,18.36,18.36,18.36,18.36,18.4532142857143
,3/20/28,18.46,18.46,18.46,18.46,18.565
,3/21/28,18.65,18.65,18.65,18.65,18.7139285714286
,3/22/28,18.6,18.6,18.6,18.6,18.8003571428571
,3/23/28,18.78,18.78,18.78,18.78,18.85
,3/26/28,19.05,19.05,19.05,19.05,18.8957142857143
,3/27/28,18.94,18.94,18.94,18.94,19.0064285714286
,3/28/28,18.89,18.89,18.89,18.89,19.0021428571429
,3/29/28,18.95,18.95,18.95,18.95,19.0142857142857
,3/30/28,19.28,19.28,19.28,19.28,19.0103571428571
,4/2/28,18.91,18.91,18.91,18.91,19.0685714285714
,4/3/28,19.02,19.02,19.02,19.02,19.1264285714286
,4/4/28,18.99,18.99,18.99,18.99,19.1282142857143
,4/5/28,19.23,19.23,19.23,19.23,19.2096428571429
,4/9/28,19.27,19.27,19.27,19.27,19.2778571428571
,4/10/28,19.1,19.1,19.1,19.1,19.4082142857143
,4/11/28,19.44,19.44,19.44,19.44,19.5007142857143
,4/12/28,19.41,19.41,19.41,19.41,19.5285714285714
,4/13/28,19.73,19.73,19.73,19.73,19.5460714285714
,4/16/28,19.68,19.68,19.68,19.68,19.5821428571429
,4/17/28,19.52,19.52,19.52,19.52,19.5267857142857
,4/18/28,19.52,19.52,19.52,19.52,19.4275
,4/19/28,19.63,19.63,19.63,19.63,19.3625
,4/20/28,19.34,19.34,19.34,19.34,19.3346428571429
,4/23/28,19.15,19.15,19.15,19.15,19.3542857142857
,4/24/28,19.25,19.25,19.25,19.25,19.4282142857143
,4/25/28,19.33,19.33,19.33,19.33,19.5139285714286
,4/26/28,19.47,19.47,19.47,19.47,19.6028571428571
,4/27/28,19.68,19.68,19.68,19.68,19.6885714285714
,4/30/28,19.75,19.75,19.75,19.75,19.775
,5/1/28,19.78,19.78,19.78,19.78,19.9146428571429
,5/2/28,19.83,19.83,19.83,19.83,20.0642857142857
,5/3/28,19.93,19.93,19.93,19.93,20.1453571428571
,5/4/28,20.24,20.24,20.24,20.24,20.1978571428571
,5/7/28,20.41,20.41,20.41,20.41,20.2253571428571
,5/8/28,20.27,20.27,20.27,20.27,20.275
,5/9/28,20.24,20.24,20.24,20.24,20.3257142857143
,5/10/28,20.21,20.21,20.21,20.21,20.3457142857143
,5/11/28,20.36,20.36,20.36,20.36,20.2753571428571
,5/14/28,20.44,20.44,20.44,20.44,20.2353571428571
,5/15/28,20.39,20.39,20.39,20.39,20.1507142857143
,5/16/28,20.05,20.05,20.05,20.05,20.005
,5/17/28,20.12,20.12,20.12,20.12,19.8125
,5/18/28,19.92,19.92,19.92,19.92,19.7532142857143
,5/21/28,19.63,19.63,19.63,19.63,19.7485714285714
,5/22/28,19.36,19.36,19.36,19.36,19.77
,5/23/28,19.75,19.75,19.75,19.75,19.7142857142857
,5/24/28,19.87,19.87,19.87,19.87,19.7407142857143
,5/25/28,19.9,19.9,19.9,19.9,19.8157142857143
,5/28/28,19.57,19.57,19.57,19.57,19.895
,5/29/28,19.82,19.82,19.82,19.82,19.8814285714286
,5/31/28,20,20,20,20,19.8785714285714
,6/1/28,20.07,20.07,20.07,20.07,19.8289285714286
,6/4/28,19.8,19.8,19.8,19.8,19.7753571428571
,6/5/28,19.85,19.85,19.85,19.85,19.6603571428571
,6/6/28,19.66,19.66,19.66,19.66,19.3889285714286
,6/7/28,19.61,19.61,19.61,19.61,19.0796428571429
,6/8/28,19.37,19.37,19.37,19.37,18.9696428571429
,6/11/28,18.68,18.68,18.68,18.68,18.9321428571429
,6/12/28,18.34,18.34,18.34,18.34,18.8457142857143
,6/13/28,18.89,18.89,18.89,18.89,18.7071428571429
,6/14/28,19.05,19.05,19.05,19.05,18.5967857142857
,6/15/28,18.74,18.74,18.74,18.74,18.5807142857143
,6/18/28,18.4,18.4,18.4,18.4,18.5660714285714
,6/19/28,18.34,18.34,18.34,18.34,18.5385714285714
,6/20/28,18.57,18.57,18.57,18.57,18.5060714285714
,6/21/28,18.56,18.56,18.56,18.56,18.5467857142857
,6/22/28,18.54,18.54,18.54,18.54,18.6346428571429
,6/25/28,18.47,18.47,18.47,18.47,18.7585714285714
,6/26/28,18.68,18.68,18.68,18.68,18.8739285714286
,6/27/28,18.86,18.86,18.86,18.86,18.9289285714286
,6/28/28,19.07,19.07,19.07,19.07,19.0464285714286
,6/29/28,19.14,19.14,19.14,19.14,19.1846428571429
,7/2/28,18.98,18.98,18.98,18.98,19.2642857142857
,7/3/28,19.29,19.29,19.29,19.29,19.3360714285714
,7/5/28,19.48,19.48,19.48,19.48,19.3789285714286
,7/6/28,19.39,19.39,19.39,19.39,19.2889285714286
,7/9/28,19.46,19.46,19.46,19.46,19.1707142857143
,7/10/28,19.43,19.43,19.43,19.43,19.0960714285714
,7/11/28,18.95,18.95,18.95,18.95,18.9682142857143
,7/12/28,18.81,18.81,18.81,18.81,18.8932142857143
,7/13/28,18.96,18.96,18.96,18.96,18.8967857142857
,7/16/28,18.7,18.7,18.7,18.7,18.9057142857143
,7/17/28,18.8,18.8,18.8,18.8,18.9403571428571
,7/18/28,19.03,19.03,19.03,19.03,18.9946428571429
,7/19/28,18.99,18.99,18.99,18.99,19.0303571428571
,7/20/28,19.03,19.03,19.03,19.03,19.0889285714286
,7/23/28,19.12,19.12,19.12,19.12,19.1396428571429
,7/24/28,19.09,19.09,19.09,19.09,19.2196428571429
,7/25/28,19.2,19.2,19.2,19.2,19.2982142857143
,7/26/28,19.24,19.24,19.24,19.24,19.3496428571429
,7/27/28,19.42,19.42,19.42,19.42,19.3842857142857
,7/30/28,19.47,19.47,19.47,19.47,19.3857142857143
,7/31/28,19.43,19.43,19.43,19.43,19.3860714285714
,8/1/28,19.42,19.42,19.42,19.42,19.4357142857143
,8/2/28,19.33,19.33,19.33,19.33,19.4507142857143
,8/3/28,19.36,19.36,19.36,19.36,19.4032142857143
,8/6/28,19.58,19.58,19.58,19.58,19.3760714285714
,8/7/28,19.49,19.49,19.49,19.49,19.3410714285714
,8/8/28,19.25,19.25,19.25,19.25,19.3221428571429
,8/9/28,19.3,19.3,19.3,19.3,19.2646428571429
,8/10/28,19.25,19.25,19.25,19.25,19.3003571428571
,8/13/28,19.29,19.29,19.29,19.29,19.375
,8/14/28,19.13,19.13,19.13,19.13,19.4528571428571
,8/15/28,19.47,19.47,19.47,19.47,19.5492857142857
,8/16/28,19.61,19.61,19.61,19.61,19.6914285714286
,8/17/28,19.64,19.64,19.64,19.64,19.8010714285714
,8/20/28,19.77,19.77,19.77,19.77,19.8903571428571
,8/21/28,20.02,20.02,20.02,20.02,20.0278571428571
,8/22/28,20,20,20,20,20.1442857142857
,8/23/28,20.02,20.02,20.02,20.02,20.2732142857143
,8/24/28,20.34,20.34,20.34,20.34,20.38
,8/27/28,20.38,20.38,20.38,20.38,20.4653571428571
,8/28/28,20.54,20.54,20.54,20.54,20.5946428571429
,8/29/28,20.58,20.58,20.58,20.58,20.7178571428571
,8/30/28,20.61,20.61,20.61,20.61,20.8321428571429
,8/31/28,20.87,20.87,20.87,20.87,20.8878571428571
,9/4/28,20.97,20.97,20.97,20.97,20.9610714285714
,9/5/28,21.07,21.07,21.07,21.07,20.9721428571429
,9/6/28,20.94,20.94,20.94,20.94,21.0110714285714
,9/7/28,21.09,21.09,21.09,21.09,21.0532142857143
,9/10/28,20.92,20.92,20.92,20.92,21.08
,9/11/28,21.08,21.08,21.08,21.08,21.1007142857143
