Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
31/12/2003,1000,1002.49,997.97,1000,
04/01/2004,1005.92,1011.69,1005.92,1010.03,
05/01/2004,1010.03,1019.17,1010.03,1015.18,
06/01/2004,1016.45,1022.89,1016.45,1021.88,1028.9521428572
07/01/2004,1022.39,1026.36,1021.24,1026.11,1034.6035714286
08/01/2004,1026.34,1033.69,1025.55,1033.43,1040.1482142857
11/01/2004,1039.35,1048.54,1039.31,1046.63,1046.325
12/01/2004,1048.15,1048.97,1041.46,1044.5,1050.4489285714
13/01/2004,1043.99,1057.29,1043.99,1050.43,1051.3353571429
14/01/2004,1050.55,1061.89,1050.55,1058.73,1049.9
15/01/2004,1059.08,1061.78,1056.74,1056.74,1047.5403571429
18/01/2004,1054.84,1055.23,1047.75,1048.77,1048.9675
19/01/2004,1048.38,1048.77,1041.38,1042.72,1051.3764285714
20/01/2004,1042.47,1042.47,1035.38,1040.35,1053.4096428572
21/01/2004,1039.57,1055.36,1039.34,1054.6,1055.5360714286
22/01/2004,1052.59,1059.97,1050.69,1059.97,1059.4032142857
25/01/2004,1058.95,1061.36,1058.95,1059.83,1065.7467857143
26/01/2004,1059.57,1061.43,1059.03,1060.36,1073.8446428572
27/01/2004,1063.97,1068.85,1059.36,1067.84,1083.7964285714
28/01/2004,1070.17,1080.47,1069.88,1080.47,1092.4732142857
29/01/2004,1080.76,1093.14,1080.76,1092.88,1100.07
04/02/2004,1093.11,1108.26,1093.11,1107.8,1103.1017857143
05/02/2004,1109.37,1111.88,1109.37,1110.3,1104.795
08/02/2004,1111.39,1113.25,1111.24,1113.17,1104.5503571429
09/02/2004,1113.17,1118.09,1101.59,1102.53,1103.6328571429
10/02/2004,1103.35,1107.48,1101.29,1103.2,1102.2121428572
11/02/2004,1103.2,1103.58,1099.28,1100.5,1100.1057142857
12/02/2004,1100.12,1102.43,1100.12,1100.67,1098.8542857143
15/02/2004,1102.25,1102.72,1097.16,1099.77,1097.7492857143
16/02/2004,1099.77,1099.77,1095.88,1095.88,1098.2235714286
17/02/2004,1096.27,1098.24,1095.98,1097.24,1096.4485714286
18/02/2004,1096.46,1100.04,1095.48,1095.55,1095.0160714286
19/02/2004,1095.55,1101.09,1095.55,1100.87,1092.5789285714
22/02/2004,1100.98,1100.98,1090.83,1091.54,1091.7421428572
23/02/2004,1093.97,1096.04,1091.27,1091.63,1091.4717857143
24/02/2004,1091.63,1092.11,1085.6,1086.32,1092.8814285714
25/02/2004,1086.71,1091.05,1086.32,1090.8,1094.7582142857
26/02/2004,1090.8,1094.81,1090.26,1092.34,1096.7110714286
29/02/2004,1097.51,1099.98,1093.65,1098.36,1100.8321428572
01/03/2004,1098.36,1102,1098.36,1100.63,1103.6021428572
02/03/2004,1105.29,1105.67,1100.68,1100.9,1103.2635714286
