Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
02/01/75 00:00,1.3101,1.3101,1.3101,1.3101,
03/01/75 00:00,1.3184,1.3184,1.3184,1.3184,
06/01/75 00:00,1.3291,1.3291,1.3291,1.3291,
07/01/75 00:00,1.3316,1.3316,1.3316,1.3316,1.3255892857
08/01/75 00:00,1.3238,1.3238,1.3238,1.3238,1.3262857143
09/01/75 00:00,1.3243,1.3243,1.3243,1.3243,1.3243035714
10/01/75 00:00,1.3273,1.3273,1.3273,1.3273,1.3234642857
13/01/75 00:00,1.3263,1.3263,1.3263,1.3263,1.3235642857
14/01/75 00:00,1.3179,1.3179,1.3179,1.3179,1.3242928571
15/01/75 00:00,1.3224,1.3224,1.3224,1.3224,1.3264142857
16/01/75 00:00,1.3252,1.3252,1.3252,1.3252,1.3289571429
17/01/75 00:00,1.3268,1.3268,1.3268,1.3268,1.334375
20/01/75 00:00,1.3328,1.3328,1.3328,1.3328,1.3395535714
21/01/75 00:00,1.3357,1.3357,1.3357,1.3357,1.3444892857
22/01/75 00:00,1.3484,1.3484,1.3484,1.3484,1.3510607143
23/01/75 00:00,1.3506,1.3506,1.3506,1.3506,1.3546714286
24/01/75 00:00,1.3543,1.3543,1.3543,1.3543,1.3538214286
27/01/75 00:00,1.3654,1.3654,1.3654,1.3654,1.3529964286
28/01/75 00:00,1.3593,1.3593,1.3593,1.3593,1.3515035714
29/01/75 00:00,1.3461,1.3461,1.3461,1.3461,1.3488285714
30/01/75 00:00,1.3481,1.3481,1.3481,1.3481,1.3434
31/01/75 00:00,1.3472,1.3472,1.3472,1.3472,1.3390607143
03/02/75 00:00,1.3423,1.3423,1.3423,1.3423,1.33675
04/02/75 00:00,1.3301,1.3301,1.3301,1.3301,1.3361357143
05/02/75 00:00,1.331,1.331,1.331,1.331,1.3374571429
06/02/75 00:00,1.3342,1.3342,1.3342,1.3342,1.3390785714
07/02/75 00:00,1.3374,1.3374,1.3374,1.3374,1.3412714286
10/02/75 00:00,1.3439,1.3439,1.3439,1.3439,1.3453428571
11/02/75 00:00,1.3445,1.3445,1.3445,1.3445,1.3485928571
12/02/75 00:00,1.3464,1.3464,1.3464,1.3464,1.3519464286
13/02/75 00:00,1.3545,1.3545,1.3545,1.3545,1.3542071429
14/02/75 00:00,1.3547,1.3547,1.3547,1.3547,1.3553214286
17/02/75 00:00,1.3585,1.3585,1.3585,1.3585,1.3578071429
18/02/75 00:00,1.3576,1.3576,1.3576,1.3576,1.3598785714
19/02/75 00:00,1.3559,1.3559,1.3559,1.3559,1.3636178571
20/02/75 00:00,1.3631,1.3631,1.3631,1.3631,1.3656357143
21/02/75 00:00,1.3641,1.3641,1.3641,1.3641,1.3694142857
24/02/75 00:00,1.3733,1.3733,1.3733,1.3733,1.3739642857
25/02/75 00:00,1.3691,1.3691,1.3691,1.3691,1.3777178571
26/02/75 00:00,1.3782,1.3782,1.3782,1.3782,1.3808178571
27/02/75 00:00,1.3841,1.3841,1.3841,1.3841,1.3812178571
28/02/75 00:00,1.3847,1.3847,1.3847,1.3847,1.3814464286
03/03/75 00:00,1.3862,1.3862,1.3862,1.3862,1.3800071429
04/03/75 00:00,1.3787,1.3787,1.3787,1.3787,1.3751535714
05/03/75 00:00,1.3801,1.3801,1.3801,1.3801,1.3710714286
06/03/75 00:00,1.3744,1.3744,1.3744,1.3744,1.3701964286
07/03/75 00:00,1.3615,1.3615,1.3615,1.3615,1.3675035714
10/03/75 00:00,1.3622,1.3622,1.3622,1.3622,1.3660464286
11/03/75 00:00,1.3719,1.3719,1.3719,1.3719,1.36605
12/03/75 00:00,1.3628,1.3628,1.3628,1.3628,1.3666035714
13/03/75 00:00,1.3644,1.3644,1.3644,1.3644,1.3686857143
14/03/75 00:00,1.3682,1.3682,1.3682,1.3682,1.3712214286
17/03/75 00:00,1.3687,1.3687,1.3687,1.3687,1.3720321429
18/03/75 00:00,1.374,1.374,1.374,1.374,1.3717321429
19/03/75 00:00,1.3776,1.3776,1.3776,1.3776,1.370275
20/03/75 00:00,1.3729,1.3729,1.3729,1.3729,1.3683785714
21/03/75 00:00,1.3686,1.3686,1.3686,1.3686,1.3658892857
24/03/75 00:00,1.3648,1.3648,1.3648,1.3648,1.3627357143
25/03/75 00:00,1.3631,1.3631,1.3631,1.3631,1.3612964286
26/03/75 00:00,1.36,1.36,1.36,1.36,1.3605464286
27/03/75 00:00,1.3561,1.3561,1.3561,1.3561,1.3590321429
01/04/75 00:00,1.3604,1.3604,1.3604,1.3604,1.3553714286
02/04/75 00:00,1.3607,1.3607,1.3607,1.3607,1.3526
03/04/75 00:00,1.3559,1.3559,1.3559,1.3559,1.3514535714
04/04/75 00:00,1.3455,1.3455,1.3455,1.3455,1.350475
07/04/75 00:00,1.3463,1.3463,1.3463,1.3463,1.34755
08/04/75 00:00,1.3504,1.3504,1.3504,1.3504,1.3456928571
09/04/75 00:00,1.3497,1.3497,1.3497,1.3497,1.3434857143
10/04/75 00:00,1.341,1.341,1.341,1.341,1.343125
11/04/75 00:00,1.3425,1.3425,1.3425,1.3425,1.3431892857
14/04/75 00:00,1.3385,1.3385,1.3385,1.3385,1.3434571429
15/04/75 00:00,1.3434,1.3434,1.3434,1.3434,1.3440285714
16/04/75 00:00,1.3448,1.3448,1.3448,1.3448,1.3442357143
17/04/75 00:00,1.3454,1.3454,1.3454,1.3454,1.3449642857
18/04/75 00:00,1.3459,1.3459,1.3459,1.3459,1.3477535714
