
,XAU Curncy,,,,,,
,Date,OPEN,HIGH,LOW,LAST_PRICE,Centered Weighted Moving Average,
,12-23-16,1128.3800000000001,1135.8399999999999,1128.1400000000001,1133.3,,
,12-27-16,1133.95,1150.75,1131.78,1138.78,,
,12-28-16,1138.78,1144.56,1136.47,1141.67,,
,12-29-16,1141.67,1159.48,1141.6400000000001,1158.19,1153.74,
,12-30-16,1158.05,1163.3399999999999,1147.3599999999999,1147.5,1161.5582142857143,
,01-03-17,1150.5899999999999,1164.5,1146.17,1158.8399999999999,1165.8317857142858,
,01-04-17,1158.8399999999999,1168.03,1156.3,1163.6500000000001,1171.0139285714286,
,01-05-17,1163.6500000000001,1185.1400000000001,1163.0999999999999,1180.1199999999999,1176.4828571428573,
,01-06-17,1180.1199999999999,1182.76,1171.05,1172.6300000000001,1181.8264285714286,
,01-09-17,1172.6600000000001,1186.24,1172.02,1181.0999999999999,1186.5467857142855,
,01-10-17,1181.0999999999999,1190.6500000000001,1180.29,1187.8800000000001,1190.4378571428572,
,01-11-17,1187.8800000000001,1198.4000000000001,1177.28,1191.6199999999999,1194.4732142857142,
,01-12-17,1191.6199999999999,1207.07,1190.8399999999999,1195.43,1201.2860714285714,
,01-13-17,1195.43,1200.83,1187.94,1197.3399999999999,1203.3192857142856,
,01-16-17,1197.21,1208.72,1196.8599999999999,1202.73,1204.6614285714284,
,01-17-17,1202.75,1218.92,1202.53,1217.07,1206.7649999999999,
,01-18-17,1217.07,1217.93,1202.48,1204.3,1210.1782142857141,
,01-19-17,1204.23,1206.6500000000001,1195.95,1204.8499999999999,1210.454642857143,
,01-20-17,1204.8499999999999,1214.8800000000001,1198.68,1210.32,1208.2542857142857,
,01-23-17,1209.74,1219.55,1209.3900000000001,1218.23,1203.0792857142858,
,01-24-17,1218.23,1220.26,1206.73,1208.94,1199.599642857143,
,01-25-17,1208.94,1209.8499999999999,1193.3800000000001,1200.69,1197.712857142857,
,01-26-17,1200.69,1202.77,1184.52,1188.5,1199.9078571428574,
,01-27-17,1188.5,1191.69,1180.6600000000001,1191.2,1201.8685714285714,
,01-30-17,1192.95,1199.52,1188.33,1195.7,1205.6589285714288,
,01-31-17,1195.7,1215.46,1193.8399999999999,1210.72,1210.2835714285716,
,02-01-17,1210.72,1213.32,1198.24,1209.8399999999999,1218.0153571428568,
,02-02-17,1209.8399999999999,1225.3900000000001,1208.53,1215.96,1223.6474999999998,
,02-03-17,1215.96,1221.52,1207.29,1220.3,1229.6764285714287,
,02-06-17,1220.3499999999999,1235.7,1219.27,1235.53,1230.776071428571,
,02-07-17,1235.53,1235.82,1227.8,1233.8499999999999,1232.5607142857145,
,02-08-17,1233.8499999999999,1244.8,1230.1500000000001,1241.53,1231.4060714285713,
,02-09-17,1241.53,1244.5899999999999,1225.69,1228.3599999999999,1230.6367857142855,
,02-10-17,1228.3599999999999,1237.23,1221.78,1233.6199999999999,1230.980357142857,
,02-13-17,1232.9000000000001,1233.17,1219.42,1225.26,1232.7242857142858,
,02-14-17,1225.26,1234.6500000000001,1221.98,1228.1300000000001,1233.1728571428571,
,02-15-17,1228.1300000000001,1233.76,1216.78,1233.7,1234.8364285714285,
,02-16-17,1233.7,1242.46,1232.21,1239.04,1235.4564285714289,
,02-17-17,1239.04,1243.8800000000001,1234.3399999999999,1234.5999999999999,1236.4257142857143,
,02-20-17,1235.25,1239.08,1232.8499999999999,1238.47,1239.99,
,02-21-17,1238.47,1239.06,1226.23,1235.74,1244.6964285714287,
,02-22-17,1235.8800000000001,1240.72,1231.29,1237.44,1247.4489285714285,
,02-23-17,1237.44,1251.22,1235.83,1249.56,1248.6400000000001,
,02-24-17,1249.48,1260.23,1247.8599999999999,1257.19,1249.6492857142857,
,02-27-17,1257.9000000000001,1263.94,1251.05,1252.73,1246.3978571428574,
,02-28-17,1252.73,1258.48,1247.74,1248.44,1243.339642857143,
,03-01-17,1248.47,1250.73,1237.01,1249.69,1237.9953571428573,
,03-02-17,1249.69,1250.1600000000001,1231.06,1234.25,1231.160357142857,
,03-03-17,1234.25,1236.3399999999999,1222.94,1234.81,1223.9139285714284,
,03-06-17,1233.74,1236.95,1224.99,1225.29,1216.4864285714286,
,03-07-17,1225.29,1227.27,1214.25,1215.8599999999999,1211.5946428571426,
,03-08-17,1215.8599999999999,1218.6500000000001,1206.73,1208.31,1208.2267857142856,
,03-09-17,1208.31,1209.0899999999999,1199.3499999999999,1201.24,1204.6335714285713,
,03-10-17,1201.2,1206.43,1195.08,1204.6400000000001,1207.5049999999999,
,03-13-17,1205.68,1211.3,1202.51,1204.3,1212.2521428571429,
,03-14-17,1204.3,1207.71,1197.42,1199.1199999999999,1217.2778571428571,
,03-15-17,1199.02,1222.0899999999999,1197.5899999999999,1219.8800000000001,1222.8003571428574,
,03-16-17,1219.8800000000001,1233.81,1218.19,1226.6099999999999,1229.7867857142858,
,03-17-17,1226.6099999999999,1231.74,1224.54,1229.26,1236.3460714285716,
,03-20-17,1229.3599999999999,1235.6199999999999,1229.21,1234.24,1240.4046428571426,
,03-21-17,1234.24,1247.6500000000001,1226.97,1244.81,1242.4099999999999,
,03-22-17,1244.81,1251.42,1243.1400000000001,1248.8399999999999,1246.3917857142858,
,03-23-17,1248.8399999999999,1253.28,1242.8800000000001,1245.2,1248.6046428571428,
,03-24-17,1245.2,1251.97,1241.04,1243.57,1250.4192857142857,
,03-27-17,1246.04,1261.08,1246.04,1254.8599999999999,1248.845357142857,
,03-28-17,1254.8599999999999,1258.49,1247.76,1251.82,1248.9889285714285,
,03-29-17,1251.82,1254.78,1247.3800000000001,1253.45,1250.1946428571428,
,03-30-17,1253.33,1253.93,1242.51,1242.6400000000001,1251.7989285714286,
,03-31-17,1242.6400000000001,1250.67,1239.77,1249.2,1252.8192857142858,
,04-03-17,1250.1400000000001,1253.8,1244.58,1253.5,1252.7924999999998,
,04-04-17,1253.5,1261.3399999999999,1253.3399999999999,1256.28,1253.4774999999997,
,04-05-17,1256.28,1257.4100000000001,1243.81,1255.76,1254.1614285714288,
,04-06-17,1255.76,1259.01,1249.9000000000001,1251.7,1259.4603571428572,
,04-07-17,1251.7,1270.8699999999999,1250.68,1254.53,1266.8228571428569,
,04-10-17,1253.94,1257.2,1247.23,1254.68,1273.2817857142859,
,04-11-17,1254.68,1275.25,1253.18,1274.8599999999999,1278.0532142857141,
,04-12-17,1274.8599999999999,1286.8699999999999,1272.03,1286.78,1281.5107142857141,
,04-13-17,1286.78,1288.67,1281.92,1287.92,1285.0517857142859,
,04-14-17,1287.92,1290.5899999999999,1283.78,1285.69,1284.9471428571428,
,04-17-17,1290.3,1295.56,1281.45,1284.71,1284.3532142857143,
,04-18-17,1284.71,1292.4000000000001,1279.05,1289.76,1284.1428571428571,
,04-19-17,1289.74,1291.1400000000001,1274.27,1280.21,1281.9835714285714,
,04-20-17,1280.21,1283.52,1276.71,1281.9000000000001,1277.1939285714286,
,04-21-17,1281.9000000000001,1288.3399999999999,1278.58,1284.44,1274.4467857142859,
,04-24-17,1284.9000000000001,1284.99,1265.51,1276.31,1271.0228571428572,
,04-25-17,1276.31,1278.27,1261.69,1264.1300000000001,1269.5032142857144,
,04-26-17,1264.08,1270.67,1260.06,1269.22,1265.4846428571429,
,04-27-17,1269.23,1270.7,1261.3399999999999,1264.3,1262.4153571428571,
,04-28-17,1264.3,1268.99,1263.19,1268.28,1255.6871428571428,
,05-01-17,1268.43,1271.27,1254.29,1256.58,1247.8185714285717,
,05-02-17,1256.5,1257.8900000000001,1252.07,1256.76,1241.197142857143,
,05-03-17,1256.76,1257.81,1236.03,1238.17,1235.6024999999997,
,05-04-17,1238.17,1241.3699999999999,1225.79,1228.1600000000001,1230.1175000000001,
,05-05-17,1228.1600000000001,1235.69,1226.21,1228.01,1225.7803571428572,
,05-08-17,1222.9000000000001,1236.6300000000001,1221.21,1226.23,1224.2667857142856,
,05-09-17,1226.22,1228.67,1214.3900000000001,1221.23,1224.7335714285714,
,05-10-17,1221.23,1225.74,1217.67,1219.0999999999999,1226.1457142857143,
,05-11-17,1219.0999999999999,1227.79,1216,1225.04,1229.0678571428573,
,05-12-17,1225.03,1231.82,1224.3599999999999,1228.43,1237.6903571428572,
,05-15-17,1228.43,1237.4000000000001,1227.02,1230.82,1241.4857142857143,
,05-16-17,1230.82,1239.19,1230.4100000000001,1237.24,1246.5732142857141,
,05-17-17,1237.48,1261.48,1236.55,1261.3599999999999,1251.5203571428572,
,05-18-17,1261.3599999999999,1265.08,1246.0899999999999,1247.07,1252.8439285714287,
,05-19-17,1246.83,1256.53,1246.4000000000001,1255.93,1255.2310714285716,
,05-22-17,1257.3,1262.68,1251.8499999999999,1260.6300000000001,1255.8564285714288,
,05-23-17,1260.6500000000001,1263.8800000000001,1250.56,1251.22,1258.5960714285713,
,05-24-17,1251.22,1259.17,1247.99,1258.73,1261.4778571428571,
,05-25-17,1258.73,1259.76,1253.93,1255.67,1262.3560714285711,
,05-26-17,1255.69,1269.55,1253.24,1266.76,1264.4360714285715,
,05-29-17,1268.43,1269.18,1265.1199999999999,1268.0999999999999,1265.4800000000002,
,05-30-17,1266.92,1270.5999999999999,1259.48,1263.0899999999999,1269.3,
,05-31-17,1263.0899999999999,1274.17,1259.68,1268.92,1272.5475000000001,
,06-01-17,1268.92,1270.4000000000001,1261.5999999999999,1265.96,1278.5807142857141,
,06-02-17,1265.94,1279.6199999999999,1259.18,1279.17,1281.8171428571427,
,06-05-17,1280.05,1283.51,1277.8399999999999,1279.8,1282.0882142857142,
,06-06-17,1279.8,1296.1500000000001,1279.54,1294.3900000000001,1279.0139285714283,
,06-07-17,1294.3900000000001,1295.22,1282.76,1287.1500000000001,1275.8717857142856,
,06-08-17,1287.1500000000001,1289.02,1271.43,1278.01,1272.8142857142859,
,06-09-17,1278.01,1282.0999999999999,1264.73,1266.76,1268.7850000000001,
,06-12-17,1267.46,1270.4100000000001,1263.71,1266.18,1263.7121428571429,
,06-13-17,1266.2,1269.03,1259.3599999999999,1266.55,1260.0200000000002,
,06-14-17,1266.55,1280.77,1257.28,1260.8599999999999,1255.0489285714284,
,06-15-17,1260.8599999999999,1266.69,1251.58,1253.98,1251.0907142857143,
,06-16-17,1253.98,1257.23,1251.8900000000001,1253.73,1248.8482142857142,
,06-19-17,1254.3,1255.77,1243.1400000000001,1243.8399999999999,1248.3167857142857,
,06-20-17,1243.8399999999999,1248.1400000000001,1241.4000000000001,1243.01,1249.9082142857146,
,06-21-17,1243.01,1247.9100000000001,1240.98,1246.48,1248.6503571428573,
,06-22-17,1246.48,1254.8900000000001,1245.3800000000001,1250.51,1248.3357142857142,
,06-23-17,1250.51,1258.97,1249.8499999999999,1256.71,1248.7803571428574,
,06-26-17,1257.3,1258.2,1236.43,1244.72,1248.0910714285715,
,06-27-17,1244.72,1253.22,1241.43,1247.17,1246.3375000000001,
,06-28-17,1247.1500000000001,1255.01,1246.44,1249.27,1239.4053571428574,
,06-29-17,1249.26,1253.23,1239.8499999999999,1245.51,1234.3607142857145,
