
,,,01-31-00,02-15-18,,,

,,,z,,,,
,SPX Index,,,,,CWMA,
,BarTp=T,,,,,,
,Date,OPEN,HIGH,LOW,LAST_PRICE,,
,12/30/27 12:00,17.66,17.66,17.66,17.66,,
,01/03/28 12:00,17.760000000000002,17.760000000000002,17.760000000000002,17.760000000000002,,
,01/04/28 12:00,17.72,17.72,17.72,17.72,,
,01/05/28 12:00,17.55,17.55,17.55,17.55,17.551071428571429,
,01/06/28 12:00,17.66,17.66,17.66,17.66,17.487857142857145,
,01/09/28 12:00,17.5,17.5,17.5,17.5,17.465714285714288,
,01/10/28 12:00,17.37,17.37,17.37,17.37,17.481428571428573,
,01/11/28 12:00,17.350000000000001,17.350000000000001,17.350000000000001,17.350000000000001,17.429642857142859,
,01/12/28 12:00,17.47,17.47,17.47,17.47,17.389642857142857,
,01/13/28 12:00,17.579999999999998,17.579999999999998,17.579999999999998,17.579999999999998,17.352499999999999,
,01/16/28 12:00,17.29,17.29,17.29,17.29,17.353928571428572,
,01/17/28 12:00,17.3,17.3,17.3,17.3,17.38,
,01/18/28 12:00,17.260000000000002,17.260000000000002,17.260000000000002,17.260000000000002,17.44142857142857,
,01/19/28 12:00,17.38,17.38,17.38,17.38,17.514285714285716,
,01/20/28 12:00,17.48,17.48,17.48,17.48,17.535,
,01/23/28 12:00,17.64,17.64,17.64,17.64,17.574999999999999,
,01/24/28 12:00,17.71,17.71,17.71,17.71,17.618214285714288,
,01/25/28 12:00,17.52,17.52,17.52,17.52,17.596071428571427,
,01/26/28 12:00,17.63,17.63,17.63,17.63,17.59,
,01/27/28 12:00,17.690000000000001,17.690000000000001,17.690000000000001,17.690000000000001,17.570714285714285,
,01/30/28 12:00,17.489999999999998,17.489999999999998,17.489999999999998,17.489999999999998,17.580357142857142,
,01/31/28 12:00,17.57,17.57,17.57,17.57,17.535357142857144,
,02/01/28 12:00,17.53,17.53,17.53,17.53,17.507142857142856,
,02/02/28 12:00,17.63,17.63,17.63,17.63,17.482857142857142,
,02/03/28 12:00,17.399999999999999,17.399999999999999,17.399999999999999,17.399999999999999,17.479999999999997,
,02/06/28 12:00,17.45,17.45,17.45,17.45,17.492142857142856,
,02/07/28 12:00,17.440000000000001,17.440000000000001,17.440000000000001,17.440000000000001,17.502500000000001,
,02/08/28 12:00,17.489999999999998,17.489999999999998,17.489999999999998,17.489999999999998,17.487499999999997,
,02/09/28 12:00,17.55,17.55,17.55,17.55,17.469285714285711,
,02/10/28 12:00,17.54,17.54,17.54,17.54,17.438571428571429,
,02/14/28 12:00,17.440000000000001,17.440000000000001,17.440000000000001,17.440000000000001,17.333928571428572,
,02/15/28 12:00,17.399999999999999,17.399999999999999,17.399999999999999,17.399999999999999,17.221071428571427,
,02/16/28 12:00,17.350000000000001,17.350000000000001,17.350000000000001,17.350000000000001,17.167499999999997,
