,,,,,,
,XAU Curncy,,,,,
,Date,OPEN,HIGH,LOW,LAST_PRICE,Centered Weighted Moving Average
,12/23/16,1128.38,1135.84,1128.14,1133.3,
,12/27/16,1133.95,1150.75,1131.78,1138.78,
,12/28/16,1138.78,1144.56,1136.47,1141.67,
,12/29/16,1141.67,1159.48,1141.64,1158.19,1153.74
,12/30/16,1158.05,1163.34,1147.36,1147.5,1161.55821428571
,1/3/17,1150.59,1164.5,1146.17,1158.84,1165.83178571429
,1/4/17,1158.84,1168.03,1156.3,1163.65,1171.01392857143
,1/5/17,1163.65,1185.14,1163.1,1180.12,1176.48285714286
,1/6/17,1180.12,1182.76,1171.05,1172.63,1181.82642857143
,1/9/17,1172.66,1186.24,1172.02,1181.1,1186.54678571429
,1/10/17,1181.1,1190.65,1180.29,1187.88,1190.43785714286
,1/11/17,1187.88,1198.4,1177.28,1191.62,1194.47321428571
,1/12/17,1191.62,1207.07,1190.84,1195.43,1201.28607142857
,1/13/17,1195.43,1200.83,1187.94,1197.34,1203.31928571429
,1/16/17,1197.21,1208.72,1196.86,1202.73,1204.66142857143
,1/17/17,1202.75,1218.92,1202.53,1217.07,1206.765
,1/18/17,1217.07,1217.93,1202.48,1204.3,1210.17821428571
,1/19/17,1204.23,1206.65,1195.95,1204.85,1210.45464285714
,1/20/17,1204.85,1214.88,1198.68,1210.32,1208.25428571429
,1/23/17,1209.74,1219.55,1209.39,1218.23,1203.07928571429
,1/24/17,1218.23,1220.26,1206.73,1208.94,1199.59964285714
,1/25/17,1208.94,1209.85,1193.38,1200.69,1197.71285714286
,1/26/17,1200.69,1202.77,1184.52,1188.5,1199.90785714286
,1/27/17,1188.5,1191.69,1180.66,1191.2,1201.86857142857
,1/30/17,1192.95,1199.52,1188.33,1195.7,1205.65892857143
,1/31/17,1195.7,1215.46,1193.84,1210.72,1210.28357142857
,2/1/17,1210.72,1213.32,1198.24,1209.84,1218.01535714286
,2/2/17,1209.84,1225.39,1208.53,1215.96,1223.6475
,2/3/17,1215.96,1221.52,1207.29,1220.3,1229.67642857143
,2/6/17,1220.35,1235.7,1219.27,1235.53,1230.77607142857
,2/7/17,1235.53,1235.82,1227.8,1233.85,1232.56071428571
,2/8/17,1233.85,1244.8,1230.15,1241.53,1231.40607142857
,2/9/17,1241.53,1244.59,1225.69,1228.36,1230.63678571429
,2/10/17,1228.36,1237.23,1221.78,1233.62,1230.98035714286
,2/13/17,1232.9,1233.17,1219.42,1225.26,1232.72428571429
,2/14/17,1225.26,1234.65,1221.98,1228.13,1233.17285714286
,2/15/17,1228.13,1233.76,1216.78,1233.7,1234.83642857143
,2/16/17,1233.7,1242.46,1232.21,1239.04,1235.45642857143
,2/17/17,1239.04,1243.88,1234.34,1234.6,1236.42571428571
,2/20/17,1235.25,1239.08,1232.85,1238.47,1239.99
,2/21/17,1238.47,1239.06,1226.23,1235.74,1244.69642857143
,2/22/17,1235.88,1240.72,1231.29,1237.44,1247.44892857143
,2/23/17,1237.44,1251.22,1235.83,1249.56,1248.64
,2/24/17,1249.48,1260.23,1247.86,1257.19,1249.64928571429
,2/27/17,1257.9,1263.94,1251.05,1252.73,1246.39785714286
,2/28/17,1252.73,1258.48,1247.74,1248.44,1243.33964285714
,3/1/17,1248.47,1250.73,1237.01,1249.69,1237.99535714286
,3/2/17,1249.69,1250.16,1231.06,1234.25,1231.16035714286
,3/3/17,1234.25,1236.34,1222.94,1234.81,1223.91392857143
,3/6/17,1233.74,1236.95,1224.99,1225.29,1216.48642857143
,3/7/17,1225.29,1227.27,1214.25,1215.86,1211.59464285714
,3/8/17,1215.86,1218.65,1206.73,1208.31,1208.22678571429
,3/9/17,1208.31,1209.09,1199.35,1201.24,1204.63357142857
,3/10/17,1201.2,1206.43,1195.08,1204.64,1207.505
,3/13/17,1205.68,1211.3,1202.51,1204.3,1212.25214285714
,3/14/17,1204.3,1207.71,1197.42,1199.12,1217.27785714286
,3/15/17,1199.02,1222.09,1197.59,1219.88,1222.80035714286
,3/16/17,1219.88,1233.81,1218.19,1226.61,1229.78678571429
,3/17/17,1226.61,1231.74,1224.54,1229.26,1236.34607142857
,3/20/17,1229.36,1235.62,1229.21,1234.24,1240.40464285714
